Player Name ,ODI Year : Run,Total Carrier Runs
HT Davis,"year 1994: Run -
year 1997: Run 13
",13
C de Grandhomme,"year 2012: Run 36
year 2016: Run 29
year 2017: Run 149
year 2018: Run 178
year 2019: Run 51
",443
RP de Groen,"year 1993: Run 2*
year 1994: Run 7*
",12
AP Devcich,"year 2013: Run 93
year 2014: Run 84
year 2016: Run 18
",195
BJ Diamanti,"year 2009: Run 26*
",26
MW Douglas,"year 1994: Run 30
year 1995: Run 12
",55
SB Doull,"year 1992: Run 2
year 1994: Run 44
year 1995: Run 17
year 1996: Run 19
year 1997: Run 54
year 1998: Run 30
year 1999: Run 6
year 2000: Run 0
",172
CJ Drum,"year 1999: Run 7*
",9
BA Edgar,"year 1978: Run 31
year 1979: Run 113
year 1980: Run 154
year 1981: Run 390
year 1982: Run 93
year 1983: Run 552
year 1984: Run 64
year 1986: Run 417
",1814
GN Edwards,"year 1976: Run 73
year 1978: Run 12
year 1981: Run 53
",138
GD Elliott,"year 2008: Run 103
year 2009: Run 507
year 2010: Run 106
year 2013: Run 297
year 2015: Run 850
year 2016: Run 113
",1976
AM Ellis,"year 2012: Run 132
year 2013: Run 22
",154
LH Ferguson,"year 2016: Run 8
year 2017: Run 7
year 2018: Run 29
year 2019: Run 14
",58
SP Fleming,"year 1994: Run 348
year 1995: Run 514
year 1996: Run 708
year 1997: Run 423
year 1998: Run 806
year 1999: Run 332
year 2000: Run 577
year 2001: Run 457
year 2002: Run 772
year 2003: Run 681
year 2004: Run 921
year 2005: Run 439
year 2006: Run 390
year 2007: Run 669
",8007
DR Flynn,"year 2008: Run 119
year 2009: Run 48
year 2012: Run 61
",228
JEC Franklin,"year 2001: Run 53
year 2002: Run 63
year 2004: Run -
year 2005: Run 33
year 2006: Run 145
year 2007: Run 214
year 2009: Run 63
year 2010: Run 252
year 2011: Run 139
year 2012: Run 156
year 2013: Run 152
",1270
TJ Franklin,"year 1983: Run 0
year 1984: Run 6
year 1988: Run 21
",27
PG Fulton,"year 2004: Run 9
year 2005: Run 70
year 2006: Run 340
year 2007: Run 811
year 2008: Run 9
year 2009: Run 95
",1334
LK Germon,"year 1994: Run -
year 1995: Run 90
year 1996: Run 385
year 1997: Run 44
",519
MR Gillespie,"year 2006: Run 12
year 2007: Run 75
year 2008: Run 6
year 2009: Run -
",93
SR Gillespie,"year 1986: Run 45
year 1988: Run 25
",70
EJ Gray,"year 1984: Run -
year 1986: Run 57
year 1988: Run 41
",98
MJ Greatbatch,"year 1988: Run 380
year 1989: Run 51
year 1990: Run 453
year 1991: Run 81
year 1992: Run 439
year 1993: Run 198
year 1994: Run 146
year 1995: Run 338
year 1996: Run 120
",2206
MJ Guptill,"year 2009: Run 738
year 2010: Run 363
year 2011: Run 650
year 2012: Run 400
year 2013: Run 406
year 2014: Run 396
year 2015: Run 1489
year 2016: Run 727
year 2017: Run 384
year 2018: Run 423
year 2019: Run 464
",6440
BG Hadlee,"year 1975: Run 19
",26
DR Hadlee,"year 1973: Run 0
year 1974: Run 12
year 1975: Run 28
year 1976: Run -
",40
RJ Hadlee,"year 1973: Run 49
year 1974: Run 3
year 1975: Run 27
year 1976: Run 0
year 1978: Run 2
year 1979: Run 57
year 1980: Run 115
year 1981: Run 144
year 1982: Run 36
year 1983: Run 293
year 1984: Run 72
year 1985: Run 154
year 1986: Run 307
year 1987: Run 53
year 1988: Run 291
year 1989: Run -
year 1990: Run 148
",1751
LJ Hamilton,"year 2005: Run 2*
",3
CZ Harris,"year 1990: Run 51
year 1991: Run 138
year 1992: Run 290
year 1993: Run 22
year 1994: Run 321
year 1996: Run 387
year 1997: Run 477
year 1998: Run 423
year 1999: Run 410
year 2000: Run 391
year 2001: Run 439
year 2002: Run 606
year 2003: Run 295
year 2004: Run 129
",4379
MN Hart,"year 1994: Run 49
year 1996: Run -
year 1999: Run 0
year 2002: Run 12
",61
RG Hart,"year 2002: Run 0
",0
RT Hart,"year 1985: Run 3
",3
BR Hartland,"year 1992: Run 73
year 1994: Run 238
",311
MJ Haslam,"year 1992: Run 9
",9
BF Hastings,"year 1973: Run 4
year 1974: Run 34
year 1975: Run 113
",151
RL Hayes,"year 1995: Run 13
",13
MJ Henry,"year 2014: Run 1
year 2015: Run 32
year 2016: Run 132
year 2017: Run 5
year 2018: Run -
year 2019: Run 23
",193
PA Hitchcock,"year 2002: Run 11
year 2003: Run 19
year 2008: Run 11
",41
GJ Hopkins,"year 2004: Run 0
year 2007: Run 9
year 2008: Run 32
year 2009: Run 15
year 2010: Run 180
",236
MJ Horne,"year 1997: Run 267
year 1998: Run 152
year 1999: Run 421
year 2002: Run 140
",980
PA Horne,"year 1987: Run 18
",50
JM How,"year 2005: Run 58
year 2006: Run 83
year 2007: Run 376
year 2008: Run 386
year 2009: Run 27
year 2010: Run 41
year 2011: Run 75
",1046
GP Howarth,"year 1975: Run 93
year 1976: Run 43
year 1978: Run 54
year 1979: Run 70
year 1980: Run 127
year 1981: Run 211
year 1982: Run 53
year 1983: Run 428
year 1984: Run 156
year 1985: Run 149
",1384
HJ Howarth,"year 1973: Run 6
year 1975: Run 12
",18
LG Howell,"year 1998: Run 68
",287
PJ Ingram,"year 2010: Run 69
",193
AH Jones,"year 1987: Run 94
year 1988: Run 806
year 1989: Run 329
year 1990: Run 418
year 1991: Run 367
year 1992: Run 530
year 1993: Run 95
year 1994: Run 100
year 1995: Run 45
",2784
RA Jones,"year 2003: Run 63
",168
RJ Kennedy,"year 1996: Run 8*
",17
CM Kuggeleijn,"year 1988: Run 40
year 1989: Run 12
",142
SC Kuggeleijn,"year 2017: Run 11*
",11
GR Larsen,"year 1990: Run 2
year 1991: Run 17
year 1992: Run 59
year 1993: Run 123
year 1994: Run 136
year 1995: Run 107
year 1996: Run 11
year 1997: Run 103
year 1999: Run 71
",629
RT Latham,"year 1990: Run 132
year 1991: Run 46
year 1992: Run 280
year 1993: Run 104
year 1994: Run 21
",583
TWM Latham,"year 2012: Run 138
year 2013: Run 142
year 2014: Run 131
year 2015: Run 486
year 2016: Run 461
year 2017: Run 546
year 2018: Run 299
year 2019: Run 192
",2395
WK Lees,"year 1979: Run 28
year 1980: Run 77
year 1981: Run -
year 1983: Run 110
",215
MJ McClenaghan,"year 2013: Run 11
year 2014: Run 43
year 2015: Run 23
year 2016: Run 31
",108
BB McCullum,"year 2002: Run 103
year 2003: Run 270
year 2004: Run 244
year 2005: Run 409
year 2006: Run 194
year 2007: Run 799
year 2008: Run 618
year 2009: Run 750
year 2010: Run 324
year 2011: Run 470
year 2012: Run 416
year 2013: Run 420
year 2014: Run 183
year 2015: Run 764
year 2016: Run 119
",6083
NL McCullum,"year 2009: Run 0
year 2010: Run 217
year 2011: Run 233
year 2012: Run 176
year 2013: Run 292
year 2014: Run 65
year 2015: Run 87
",1070
PE McEwan,"year 1980: Run 96
year 1981: Run 27
year 1984: Run 45
year 1985: Run 36
",204
PD McGlashan,"year 2009: Run 56*
",63
AJ McKay,"year 2010: Run 10
year 2011: Run 0
year 2012: Run 2
",12
BJ McKechnie,"year 1975: Run 28
year 1976: Run 8
year 1979: Run 17
year 1981: Run 1
",54
CD McMillan,"year 1997: Run 272
year 1998: Run 467
year 1999: Run 325
year 2000: Run 361
year 2001: Run 666
year 2002: Run 851
year 2003: Run 273
year 2004: Run 484
year 2005: Run 449
year 2006: Run 2
year 2007: Run 557
",4707
EB McSweeney,"year 1986: Run 18*
year 1987: Run 13*
",73
HJH Marshall,"year 2003: Run 243
year 2004: Run 590
year 2005: Run 309
year 2006: Run 224
year 2007: Run 88
",1454
JAH Marshall,"year 2005: Run 30
year 2006: Run 50
year 2007: Run 5
year 2008: Run 165
",250
CS Martin,"year 2001: Run 6
year 2005: Run -
year 2006: Run 0
year 2007: Run -
year 2008: Run 2
",8
MJ Mason,"year 2003: Run 13
year 2004: Run -
year 2006: Run 4
year 2007: Run 5
year 2008: Run 0
year 2010: Run 2
",24
AW Mathieson,"year 2015: Run 0*
",0
JP Millmow,"year 1990: Run 0*
",0
KD Mills,"year 2001: Run 27
year 2002: Run 52
year 2003: Run 45
year 2004: Run 53
year 2005: Run 51
year 2006: Run 33
year 2007: Run 34
year 2008: Run 138
year 2009: Run 156
year 2010: Run 226
year 2011: Run 28
year 2012: Run 26
year 2013: Run 119
year 2014: Run 29
year 2015: Run 30
",1047
AF Milne,"year 2012: Run 12
year 2013: Run -
year 2014: Run -
year 2015: Run 63
year 2016: Run 55
year 2017: Run 38
",168
DK Morrison,"year 1987: Run -
year 1988: Run 13
year 1989: Run 2
year 1990: Run 31
year 1991: Run -
year 1992: Run 15
year 1993: Run 25
year 1994: Run 30
year 1995: Run 37
year 1996: Run 18
",171
JFM Morrison,"year 1975: Run 96
year 1976: Run 15
year 1979: Run 11
year 1983: Run 130
",252
C Munro,"year 2013: Run 167
year 2015: Run 77
year 2016: Run 170
year 2017: Run 279
year 2018: Run 254
year 2019: Run 199
",1146
DJ Murray,"year 1994: Run 3
",3
DJ Nash,"year 1992: Run 60
year 1994: Run 34
year 1995: Run 15
year 1996: Run 19
year 1998: Run 195
year 1999: Run 155
year 2000: Run 31
year 2001: Run 70
year 2002: Run 45
",624
JDS Neesham,"year 2013: Run 83
year 2014: Run 63
year 2015: Run 92
year 2016: Run 252
year 2017: Run 321
year 2019: Run 204
",1015
TS Nethula,"year 2012: Run 9*
",12
CJ Nevin,"year 2000: Run 178
year 2001: Run 113
year 2002: Run 316
year 2003: Run 125
",732
HM Nicholls,"year 2015: Run 43
year 2016: Run 179
year 2017: Run 201
year 2018: Run 220
year 2019: Run 386
",1029
RJ Nicol,"year 2011: Run 131
year 2012: Run 449
year 2013: Run 6
",586
IE O'Brien,"year 2008: Run -
year 2009: Run 3*
",3
SB O'Connor,"year 1997: Run 8
year 1998: Run 13
year 1999: Run 1
year 2000: Run 2
",24
JDP Oram,"year 2001: Run 229
year 2002: Run 138
year 2003: Run 239
year 2004: Run 221
year 2005: Run 207
year 2006: Run 87
year 2007: Run 549
year 2008: Run 319
year 2009: Run 105
year 2010: Run 109
year 2011: Run 90
year 2012: Run 141
",2434
DR O'Sullivan,"year 1974: Run 1
year 1976: Run 1
",2
MB Owens,"year 1992: Run 0
",0
MHW Papps,"year 2004: Run 92*
year 2005: Run 3*
",207
JM Parker,"year 1974: Run 14
year 1975: Run 96
year 1976: Run 16
year 1978: Run 7
year 1980: Run 50
year 1981: Run 65
",248
NM Parker,"year 1976: Run 0
",0
AC Parore,"year 1992: Run 78
year 1994: Run 728
year 1995: Run 305
year 1996: Run 627
year 1997: Run 250
year 1998: Run 472
year 1999: Run 348
year 2000: Run 168
year 2001: Run 229
year 2002: Run 109
",3314
DN Patel,"year 1987: Run 124
year 1988: Run 106
year 1989: Run -
year 1990: Run 41
year 1992: Run 31
year 1993: Run 44
year 1995: Run 104
year 1996: Run 113
year 1997: Run 60
",623
JS Patel,"year 2005: Run -
year 2006: Run 12
year 2007: Run 45
year 2008: Run 4
year 2009: Run 27
year 2016: Run -
year 2017: Run 7
",95
AJ Penn,"year 1997: Run 8
year 2000: Run -
year 2001: Run 15
",23
RG Petrie,"year 1990: Run 21
year 1991: Run 11*
",65
V Pollard,"year 1973: Run 55
year 1974: Run 12
",67
MW Priest,"year 1990: Run 60
year 1994: Run 35
year 1998: Run 8
",103
C Pringle,"year 1990: Run 31
year 1991: Run 20
year 1992: Run 15
year 1993: Run 33
year 1994: Run 85
year 1995: Run 9
",193
SHA Rance,"year 2017: Run -
",-
AJ Redmond,"year 2009: Run 52
year 2010: Run 16
",152
RE Redmond,"year 1973: Run 3
",3
JF Reid,"year 1980: Run 5
year 1982: Run 20
year 1984: Run 202
year 1985: Run 273
year 1986: Run 133
",633
RB Reid,"year 1988: Run 16
year 1991: Run 232
",248
MH Richardson,"year 2002: Run 26
",42
ADG Roberts,"year 1976: Run 16
",16
SJ Roberts,"year 1990: Run 1*
",1
GK Robertson,"year 1981: Run 17
year 1984: Run 21
year 1986: Run 7
year 1989: Run 4
",49
L Ronchi,"year 2008: Run 76
year 2013: Run 139
year 2014: Run 418
year 2015: Run 424
year 2016: Run 149
year 2017: Run 191
",1321
HD Rutherford,"year 2013: Run 11
",15
KR Rutherford,"year 1985: Run 20
year 1986: Run 309
year 1987: Run 206
year 1988: Run 267
year 1990: Run 457
year 1991: Run 217
year 1992: Run 521
year 1993: Run 134
year 1994: Run 681
year 1995: Run 331
",3143
JD Ryder,"year 2008: Run 263
year 2009: Run 374
year 2010: Run 58
year 2011: Run 399
year 2012: Run 6
year 2013: Run 0
year 2014: Run 262
",1362
MJ Santner,"year 2015: Run 135
year 2016: Run 230
year 2017: Run 176
year 2018: Run 230
year 2019: Run 55
",826
TL Seifert,"year 2019: Run 22
",33
MS Sinclair,"year 2000: Run 19
year 2001: Run 509
year 2002: Run 225
year 2003: Run 188
year 2004: Run 224
year 2005: Run 15
year 2007: Run 122
year 2009: Run 2
",1304
IDS Smith,"year 1980: Run 1
year 1981: Run 64
year 1982: Run 14
year 1983: Run 8
year 1984: Run 148
year 1985: Run 142
year 1986: Run 4
year 1987: Run 69
year 1988: Run 101
year 1989: Run 70
year 1990: Run 193
year 1991: Run 146
year 1992: Run 95
",1055
MC Snedden,"year 1980: Run 7
year 1981: Run 25
year 1982: Run 4
year 1983: Run 187
year 1984: Run 1
year 1985: Run 14
year 1986: Run 29
year 1987: Run 170
year 1988: Run 72
year 1989: Run 7
year 1990: Run 19
",535
IS Sodhi,"year 2015: Run 5
year 2016: Run 1
year 2017: Run -
year 2018: Run 44
year 2019: Run 12
",62
TG Southee,"year 2008: Run 31
year 2009: Run 70
year 2010: Run 34
year 2011: Run 27
year 2012: Run 77
year 2013: Run 35
year 2014: Run 44
year 2015: Run 66
year 2016: Run 93
year 2017: Run 86
year 2018: Run 96
year 2019: Run 10
",669
CM Spearman,"year 1995: Run 94
year 1996: Run 391
year 1997: Run 6
year 1998: Run 40
year 1999: Run 143
year 2000: Run 257
year 2001: Run 5
",936
SL Stewart,"year 2010: Run 14
",26
DA Stirling,"year 1984: Run 13*
",21
LW Stott,"year 1979: Run -
",-
SB Styris,"year 1999: Run 74
year 2000: Run 123
year 2001: Run 65
year 2002: Run 358
year 2003: Run 646
year 2004: Run 622
year 2005: Run 432
year 2006: Run 272
year 2007: Run 848
year 2008: Run 275
year 2009: Run 28
year 2010: Run 474
year 2011: Run 266
",4483
ML Su'a,"year 1992: Run 17
year 1994: Run 7
year 1995: Run -
",24
GP Sulzberger,"year 2000: Run 6*
",9
AR Tait,"year 1998: Run 10*
year 1999: Run 13*
",35
BR Taylor,"year 1973: Run 22
",22
LRPL Taylor,"year 2006: Run 189
year 2007: Run 663
year 2008: Run 465
year 2009: Run 631
year 2010: Run 676
year 2011: Run 561
year 2012: Run 223
year 2013: Run 510
year 2014: Run 662
year 2015: Run 1046
year 2016: Run 200
year 2017: Run 968
year 2018: Run 639
year 2019: Run 593
",8026
EP Thompson,"year 2009: Run -
",-
SA Thomson,"year 1990: Run 18
year 1993: Run 51
year 1994: Run 624
year 1995: Run 143
year 1996: Run 128
",964
GB Troup,"year 1976: Run -
year 1979: Run 3
year 1980: Run 17
year 1981: Run 14
year 1982: Run 2
year 1983: Run 39
year 1985: Run 26
",101
DR Tuffey,"year 2000: Run 2
year 2001: Run 44
year 2002: Run 57
year 2003: Run 39
year 2004: Run 3
year 2005: Run 1
year 2007: Run 8
year 2009: Run 6
year 2010: Run 135
",295
GM Turner,"year 1973: Run 36
year 1974: Run 11
year 1975: Run 359
year 1976: Run 182
year 1979: Run 176
year 1983: Run 834
",1598
RG Twose,"year 1995: Run 221
year 1996: Run 391
year 1997: Run 38
year 1999: Run 823
year 2000: Run 1067
year 2001: Run 177
",2717
RH Vance,"year 1988: Run 96
year 1989: Run 46
",248
JTC Vaughan,"year 1992: Run 51
year 1995: Run 80
year 1996: Run 31
",162
DL Vettori,"year 1997: Run 71
year 1998: Run 65
year 1999: Run 72
year 2000: Run 48
year 2001: Run 86
year 2002: Run 139
year 2003: Run 107
year 2004: Run 135
year 2005: Run 257
year 2006: Run 221
year 2007: Run 110
year 2008: Run 145
year 2009: Run 259
year 2010: Run 324
year 2011: Run 66
year 2013: Run 5
year 2014: Run 41
year 2015: Run 102
",2201
L Vincent,"year 2001: Run 328
year 2002: Run 595
year 2003: Run 210
year 2005: Run 542
year 2006: Run 226
year 2007: Run 512
",2413
GE Vivian,"year 1973: Run 14
",14
KJ Wadsworth,"year 1973: Run 33
year 1974: Run 111
year 1975: Run 68
year 1976: Run 46
",258
BGK Walker,"year 2000: Run 7
year 2001: Run 6
year 2002: Run 34
",47
MDJ Walker,"year 2003: Run 10
",10
KP Walmsley,"year 2003: Run -
",-
BJ Watling,"year 2010: Run 84
year 2011: Run 19
year 2012: Run 338
year 2013: Run 87
year 2016: Run 45
year 2018: Run -
",573
W Watson,"year 1986: Run 1
year 1987: Run 24
year 1988: Run 24
year 1989: Run 4
year 1990: Run 6
year 1991: Run -
year 1992: Run 6
year 1993: Run 21
year 1994: Run 0
",86
PN Webb,"year 1983: Run 10*
year 1984: Run 8
",38
RJ Webb,"year 1983: Run 6*
",6
BM Wheeler,"year 2015: Run 39*
",58
DJ White,"year 1990: Run 15
",37
KS Williamson,"year 2010: Run 196
year 2011: Run 270
year 2012: Run 356
year 2013: Run 453
year 2014: Run 770
year 2015: Run 1376
year 2016: Run 699
year 2017: Run 596
year 2018: Run 468
year 2019: Run 370
",5554
JW Wilson,"year 1993: Run 80
year 2005: Run 23
",103
PJ Wiseman,"year 1998: Run 23
year 2000: Run 13
year 2001: Run 7
year 2003: Run 2
",45
WA Wisneski,"year 2000: Run 6
",10
LJ Woodcock,"year 2011: Run 11
",14
GH Worker,"year 2015: Run 41
year 2017: Run 184
year 2018: Run 47
",272
JG Wright,"year 1978: Run 48
year 1979: Run 166
year 1980: Run 201
year 1981: Run 378
year 1982: Run 23
year 1983: Run 598
year 1984: Run 166
year 1985: Run 187
year 1986: Run 320
year 1987: Run 252
year 1988: Run 742
year 1989: Run 102
year 1990: Run 465
year 1991: Run 122
year 1992: Run 121
",3891
BA Young,"year 1990: Run 92
year 1991: Run 30
year 1993: Run 92
year 1994: Run 606
year 1995: Run 177
year 1996: Run 102
year 1997: Run 261
year 1998: Run 171
year 1999: Run 137
",1668
Aamer Hameed,"year 1977: Run -
year 1978: Run -
",-
Aamer Hanif,"year 1993: Run 17
year 1995: Run 72
",89
Aamer Malik,"year 1988: Run 31
year 1989: Run 468
year 1990: Run 37
year 1994: Run 20
",556
Aamer Nazir,"year 1993: Run 1
year 1995: Run 12
",13
Aamer Sohail,"year 1990: Run 32
year 1991: Run 106
year 1992: Run 598
year 1993: Run 409
year 1994: Run 1053
year 1995: Run 484
year 1996: Run 1090
year 1997: Run 313
year 1998: Run 566
year 1999: Run 53
year 2000: Run 76
",4780
Aamer Yamin,"year 2015: Run 63
year 2018: Run 32
",95
Aaqib Javed,"year 1988: Run 0
year 1989: Run 2
year 1990: Run 1
year 1991: Run 7
year 1992: Run 24
year 1993: Run 17
year 1994: Run 18
year 1995: Run 75
year 1996: Run 93
year 1997: Run 28
year 1998: Run 2
",267
Abdul Qadir,"year 1983: Run 62
year 1984: Run 70
year 1985: Run 62
year 1986: Run 127
year 1987: Run 146
year 1988: Run 34
year 1989: Run 130
year 1990: Run 3
year 1993: Run 7
",641
Abdul Razzaq,"year 1996: Run 0
year 1997: Run 8
year 1998: Run 93
year 1999: Run 367
year 2000: Run 661
year 2001: Run 384
year 2002: Run 675
year 2003: Run 600
year 2004: Run 640
year 2005: Run 520
year 2006: Run 455
year 2007: Run 62
year 2009: Run 125
year 2010: Run 331
year 2011: Run 159
",5031
Abdur Rauf,"year 2008: Run -
",-
Abdur Rehman,"year 2006: Run 7
year 2007: Run 52
year 2010: Run 10
year 2011: Run 10
year 2012: Run 25
year 2013: Run 30
year 2014: Run 8
",142
Abid Ali,"year 2019: Run 112
",117
Adnan Akmal,"year 2011: Run 27
year 2012: Run 9
",62
Ahmed Shehzad,"year 2009: Run 106
year 2011: Run 371
year 2013: Run 809
year 2014: Run 629
year 2015: Run 570
year 2016: Run 25
year 2017: Run 95
",2605
Aizaz Cheema,"year 2011: Run 6
year 2012: Run 9*
",26
Akhtar Sarfraz,"year 1997: Run 25
year 1998: Run 14
",66
Akram Raza,"year 1989: Run 40
year 1990: Run 14
year 1991: Run 1
year 1992: Run -
year 1994: Run 124
year 1995: Run 14
",193
Anil Dalpat,"year 1984: Run 6
year 1985: Run 78
year 1986: Run 3
",87
Anwar Ali,"year 2013: Run 92
year 2014: Run 81
year 2015: Run 132
year 2016: Run 16
",321
Arshad Khan,"year 1993: Run 0
year 1995: Run 15
year 1997: Run 6
year 1998: Run 21
year 1999: Run 38
year 2000: Run 25
year 2005: Run 28
year 2006: Run -
",133
Arshad Pervez,"year 1978: Run 8
",11
Asad Ali,"year 2013: Run 11
",13
Asad Shafiq,"year 2010: Run 236
year 2011: Run 427
year 2012: Run 267
year 2013: Run 166
year 2014: Run 128
year 2015: Run 94
year 2017: Run 18
",1336
Ashfaq Ahmed,"year 1994: Run -
",-
Ashraf Ali,"year 1980: Run -
year 1981: Run 30
year 1982: Run 3
year 1984: Run 17
year 1985: Run 19
",69
Asif Ali,"year 2018: Run 50*
year 2019: Run 52
",342
Asif Iqbal,"year 1973: Run 3
year 1974: Run 24
year 1975: Run 53
year 1977: Run 59
year 1978: Run 62
year 1979: Run 129
",330
Asif Mahmood,"year 1998: Run 14
",14
Asif Masood,"year 1973: Run 4
year 1974: Run -
year 1975: Run 6
year 1976: Run 0
",10
Asif Mujtaba,"year 1986: Run 11
year 1987: Run 67
year 1992: Run 197
year 1993: Run 606
year 1994: Run 124
year 1995: Run 61
year 1996: Run 2
",1068
Ata-ur-Rehman,"year 1992: Run 0
year 1993: Run 2
year 1994: Run 19
year 1995: Run 6
year 1996: Run 7
",34
Atiq-uz-Zaman,"year 2000: Run 18
",34
Azam Khan,"year 1996: Run 113
year 1998: Run 3
",116
Azeem Hafeez,"year 1983: Run 7
year 1984: Run 7*
year 1985: Run 15
",45
Azhar Ali,"year 2011: Run 39
year 2012: Run 411
year 2013: Run 2
year 2015: Run 775
year 2016: Run 341
year 2017: Run 265
year 2018: Run 12
",1845
Azhar Mahmood,"year 1996: Run 41
year 1997: Run 146
year 1998: Run 265
year 1999: Run 343
year 2000: Run 278
year 2001: Run 133
year 2002: Run 103
year 2003: Run 78
year 2004: Run 48
year 2005: Run 57
year 2007: Run 29
",1521
Azmat Rana,"year 1978: Run 22*
",42
Babar Azam,"year 2015: Run 230
year 2016: Run 656
year 2017: Run 872
year 2018: Run 509
year 2019: Run 472
",2739
Basit Ali,"year 1993: Run 471
year 1994: Run 580
year 1995: Run 174
year 1996: Run 40
",1265
Bazid Khan,"year 2004: Run 12
year 2005: Run 66
year 2008: Run 53
",131
Bilal Asif,"year 2015: Run 38
",40
Bilawal Bhatti,"year 2013: Run 39
year 2014: Run 18
year 2015: Run 9
",89
Danish Kaneria,"year 2001: Run 3
year 2003: Run 1
year 2004: Run -
year 2005: Run 2
year 2006: Run -
year 2007: Run 6
",12
Ehsan Adil,"year 2013: Run 5*
year 2015: Run 15
",27
Faheem Ashraf,"year 2017: Run 20
year 2018: Run 84
year 2019: Run 58
",162
Faisal Athar,"year 2003: Run 9
",9
Faisal Iqbal,"year 2000: Run 4
year 2001: Run 29
year 2002: Run 134
year 2003: Run 117
year 2006: Run 30
",314
Fakhar Zaman,"year 2017: Run 400
year 2018: Run 875
year 2019: Run 367
",1642
Fawad Alam,"year 2007: Run 32
year 2008: Run 124
year 2009: Run 54
year 2010: Run 393
year 2014: Run 345
year 2015: Run 18
",966
Fazl-e-Akbar,"year 1998: Run 7
year 2001: Run -
",7
Ghulam Ali,"year 1993: Run 2
year 1995: Run 51
",53
Haafiz Shahid,"year 1988: Run 7*
",11
Hammad Azam,"year 2011: Run 38
year 2012: Run 38
year 2015: Run 4
",80
Haris Sohail,"year 2013: Run 45
year 2014: Run 235
year 2015: Run 494
year 2018: Run 186
year 2019: Run 360
",1320
Haroon Rasheed,"year 1977: Run 5
year 1978: Run 21
year 1979: Run 69
year 1982: Run 71
",166
Hasan Ali,"year 2016: Run 15
year 2017: Run 40
year 2018: Run 88
year 2019: Run 94
",237
Hasan Jamil,"year 1977: Run 28
year 1978: Run 26
",111
Hasan Raza,"year 1996: Run 29
year 1997: Run 47
year 1998: Run 46
year 1999: Run 120
",242
Humayun Farhat,"year 2001: Run 39
",60
Hussain Talat,"year 2019: Run 2
",2
Iftikhar Ahmed,"year 2015: Run 5
",8
Iftikhar Anjum,"year 2004: Run -
year 2005: Run 41
year 2006: Run 44
year 2007: Run 84
year 2008: Run 38
year 2009: Run 6
year 2010: Run 21
",234
Ijaz Ahmed,"year 1986: Run 67
year 1987: Run 322
year 1988: Run 448
year 1989: Run 309
year 1990: Run 448
year 1991: Run 83
year 1992: Run 73
year 1994: Run 476
year 1995: Run 165
year 1996: Run 1281
year 1997: Run 1104
year 1998: Run 799
year 1999: Run 587
year 2000: Run 402
",6564
Ijaz Ahmed,"year 1997: Run 3*
",3
Ijaz Faqih,"year 1980: Run 0
year 1981: Run 57
year 1982: Run 6
year 1983: Run 61
year 1984: Run 67
year 1987: Run -
year 1988: Run 6
",197
Imad Wasim,"year 2015: Run 76
year 2016: Run 193
year 2017: Run 161
year 2018: Run 50
year 2019: Run 298
",778
Imam-ul-Haq,"year 2017: Run 147
year 2018: Run 672
year 2019: Run 568
",1387
Imran Abbas,"year 2000: Run 28
",29
Imran Farhat,"year 2001: Run 48
year 2003: Run 348
year 2004: Run 290
year 2006: Run 288
year 2010: Run 140
year 2011: Run 261
year 2012: Run 174
year 2013: Run 170
",1719
Imran Khan,"year 1974: Run -
year 1975: Run 9
year 1976: Run 4
year 1977: Run 39
year 1978: Run 12
year 1979: Run 42
year 1980: Run 2
year 1981: Run 76
year 1982: Run 284
year 1983: Run 283
year 1984: Run 156
year 1985: Run 255
year 1986: Run 186
year 1987: Run 437
year 1988: Run 181
year 1989: Run 793
year 1990: Run 496
year 1991: Run 225
year 1992: Run 229
",3709
Imran Nazir,"year 1999: Run 6
year 2000: Run 701
year 2001: Run 81
year 2002: Run 483
year 2003: Run 69
year 2004: Run 52
year 2007: Run 392
year 2009: Run 111
",1895
Intikhab Alam,"year 1973: Run 10
year 1974: Run -
year 1976: Run 7
",17
Inzamam-ul-Haq,"year 1991: Run 80
year 1992: Run 818
year 1993: Run 808
year 1994: Run 901
year 1995: Run 699
year 1996: Run 503
year 1997: Run 891
year 1998: Run 669
year 1999: Run 1106
year 2000: Run 1074
year 2001: Run 646
year 2002: Run 743
year 2003: Run 418
year 2004: Run 911
year 2005: Run 874
year 2006: Run 450
year 2007: Run 148
",11701
Iqbal Qasim,"year 1977: Run 0
year 1978: Run 9
year 1980: Run 6
year 1981: Run -
year 1982: Run 15
year 1985: Run 9
year 1988: Run -
",39
Iqbal Sikander,"year 1992: Run 1*
",1
Irfan Bhatti,"year 1993: Run -
",-
Irfan Fazil,"year 2000: Run 15
",15
Jalal-ud-Din,"year 1982: Run -
year 1983: Run 5
",5
Javed Miandad,"year 1975: Run 52
year 1976: Run 47
year 1977: Run 100
year 1978: Run 57
year 1979: Run 46
year 1980: Run 47
year 1981: Run 194
year 1982: Run 501
year 1983: Run 293
year 1984: Run 475
year 1985: Run 721
year 1986: Run 632
year 1987: Run 1084
year 1988: Run 607
year 1989: Run 487
year 1990: Run 311
year 1991: Run 141
year 1992: Run 942
year 1993: Run 590
year 1996: Run 54
",7381
Javed Qadeer,"year 1995: Run 12
",12
