Player Name ,ODI Year : Run,Total Carrier Runs
MJ Di Venuto,"year 1997: Run 89
",241
AIC Dodemaide,"year 1988: Run 84
year 1992: Run -
year 1993: Run 40
",124
XJ Doherty,"year 2010: Run 3
year 2011: Run 14
year 2012: Run 37
year 2013: Run 45
year 2014: Run 2
year 2015: Run 0
",101
BR Dorey,"year 2006: Run 2
",2
GC Dyer,"year 1986: Run 45*
year 1987: Run 27
year 1988: Run 38
",174
G Dymock,"year 1974: Run -
year 1977: Run 2
year 1979: Run 15
year 1980: Run 18
",35
J Dyson,"year 1980: Run 218
year 1981: Run 37
year 1982: Run 183
year 1983: Run 317
",755
R Edwards,"year 1972: Run 69
year 1975: Run 186
",255
WJ Edwards,"year 1975: Run 2
",2
MTG Elliott,"year 1997: Run 1
",1
PA Emery,"year 1994: Run 11*
",11
JP Faulkner,"year 2013: Run 408
year 2014: Run 262
year 2015: Run 144
year 2016: Run 107
year 2017: Run 111
",1032
Fawad Ahmed,"year 2013: Run 4*
",4
CJ Ferguson,"year 2009: Run 599
year 2010: Run -
year 2011: Run 64
",663
AJ Finch,"year 2013: Run 514
year 2014: Run 790
year 2015: Run 561
year 2016: Run 655
year 2017: Run 405
year 2018: Run 493
year 2019: Run 634
",4052
DW Fleming,"year 1994: Run 4
year 1995: Run 10
year 1996: Run 5
year 1998: Run 11
year 1999: Run 18
year 2000: Run 53
year 2001: Run 51
",152
PJ Forrest,"year 2012: Run 104
",368
B Geeves,"year 2008: Run 0*
year 2009: Run 10*
",10
DR Gilbert,"year 1986: Run 8
",39
AC Gilchrist,"year 1996: Run 18
year 1997: Run 286
year 1998: Run 831
year 1999: Run 1241
year 2000: Run 726
year 2001: Run 746
year 2002: Run 836
year 2003: Run 1098
year 2004: Run 879
year 2005: Run 892
year 2006: Run 810
year 2007: Run 934
year 2008: Run 322
",9595
JN Gillespie,"year 1996: Run 8
year 1997: Run 57
year 1999: Run 16
year 2000: Run 24
year 2001: Run 9
year 2002: Run 46
year 2003: Run 7
year 2004: Run 56
year 2005: Run 66
",289
GJ Gilmour,"year 1974: Run -
year 1975: Run 42
",42
SF Graf,"year 1980: Run 5
year 1981: Run 8
",24
BJ Haddin,"year 2001: Run 13
year 2004: Run 83
year 2005: Run 62
year 2006: Run 216
year 2007: Run 319
year 2008: Run 81
year 2009: Run 716
year 2010: Run 387
year 2011: Run 634
year 2013: Run 181
year 2014: Run 224
year 2015: Run 206
",3122
JR Hammond,"year 1972: Run 15*
",15
PSP Handscomb,"year 2017: Run 149
year 2019: Run 479
",628
RJ Harris,"year 2009: Run 7
year 2010: Run 36
year 2012: Run 5
",48
IJ Harvey,"year 1997: Run 8
year 1998: Run 93
year 2000: Run 101
year 2001: Run 161
year 2002: Run 66
year 2003: Run 173
year 2004: Run 113
",715
SM Harwood,"year 2009: Run 0
",0
JW Hastings,"year 2010: Run 16
year 2011: Run 66
year 2015: Run 34
year 2016: Run 155
year 2017: Run -
",271
NM Hauritz,"year 2002: Run 13
year 2003: Run 22
year 2009: Run 161
year 2010: Run 138
year 2011: Run 2
",336
ML Hayden,"year 1993: Run 102
year 1994: Run 184
year 2000: Run 191
year 2001: Run 311
year 2002: Run 878
year 2003: Run 1037
year 2004: Run 946
year 2005: Run 482
year 2006: Run 103
year 2007: Run 1601
year 2008: Run 298
",6131
JR Hazlewood,"year 2010: Run -
year 2013: Run -
year 2014: Run 0
year 2015: Run -
year 2016: Run 16
year 2017: Run 5
year 2018: Run 16
",37
TM Head,"year 2016: Run 416
year 2017: Run 518
year 2018: Run 339
",1273
IA Healy,"year 1988: Run 27
year 1989: Run 89
year 1990: Run 240
year 1991: Run 131
year 1992: Run 140
year 1993: Run 223
year 1994: Run 290
year 1995: Run 235
year 1996: Run 242
year 1997: Run 147
",1764
SD Heazlett,"year 2017: Run 4
",4
MC Henriques,"year 2009: Run 18
year 2013: Run 14
year 2015: Run 4
year 2016: Run 10
year 2017: Run 35
",81
AMJ Hilditch,"year 1979: Run 153
year 1985: Run 73
",226
BW Hilfenhaus,"year 2007: Run -
year 2009: Run 29
year 2012: Run 0
",29
BJ Hodge,"year 2005: Run 72
year 2006: Run 7
year 2007: Run 496
",575
TG Hogan,"year 1983: Run 55
year 1984: Run 17
",72
GB Hogg,"year 1996: Run 38
year 2002: Run -
year 2003: Run 226
year 2004: Run 148
year 2005: Run 95
year 2006: Run 113
year 2007: Run 85
year 2008: Run 85
",790
RM Hogg,"year 1979: Run 8
year 1980: Run -
year 1981: Run 3
year 1983: Run 42
year 1984: Run 47
year 1985: Run 37
",137
RG Holland,"year 1985: Run -
",-
DW Hookes,"year 1977: Run 14
year 1979: Run 9
year 1982: Run 18
year 1983: Run 641
year 1984: Run 139
year 1986: Run 5
",826
JR Hopes,"year 2005: Run -
year 2006: Run 84
year 2007: Run 156
year 2008: Run 259
year 2009: Run 501
year 2010: Run 326
",1326
KJ Hughes,"year 1977: Run 5
year 1979: Run 222
year 1980: Run 302
year 1981: Run 340
year 1982: Run 236
year 1983: Run 315
year 1984: Run 522
year 1985: Run 26
",1968
MG Hughes,"year 1988: Run 4
year 1989: Run 33
year 1990: Run 19
year 1991: Run -
year 1992: Run 0
year 1993: Run 44
",100
PJ Hughes,"year 2013: Run 660
year 2014: Run 166
",826
AG Hurst,"year 1975: Run 1
year 1979: Run 6
",7
DJ Hussey,"year 2008: Run 137
year 2009: Run 461
year 2011: Run 342
year 2012: Run 728
year 2013: Run 128
",1796
MEK Hussey,"year 2004: Run 17
year 2005: Run 587
year 2006: Run 784
year 2007: Run 447
year 2008: Run 622
year 2009: Run 1166
year 2010: Run 825
year 2011: Run 414
year 2012: Run 580
",5442
PA Jaques,"year 2006: Run 94
year 2007: Run 3
",125
TJ Jenner,"year 1975: Run 12
",12
MG Johnson,"year 2005: Run -
year 2006: Run 19
year 2007: Run 35
year 2008: Run 38
year 2009: Run 289
year 2010: Run 119
year 2011: Run 208
year 2012: Run 12
year 2013: Run 102
year 2014: Run 95
year 2015: Run 34
",951
DM Jones,"year 1984: Run 141
year 1985: Run 340
year 1986: Run 320
year 1987: Run 937
year 1988: Run 590
year 1989: Run 716
year 1990: Run 1174
year 1991: Run 472
year 1992: Run 622
year 1993: Run 287
year 1994: Run 469
",6068
BP Julian,"year 1993: Run -
year 1995: Run 11
year 1997: Run 0
year 1998: Run 29
year 1999: Run 184
",224
MS Kasprowicz,"year 1995: Run -
year 1997: Run 45
year 1998: Run 15
year 1999: Run 2
year 2003: Run -
year 2004: Run 11
year 2005: Run 1
",74
SM Katich,"year 2001: Run -
year 2004: Run 44
year 2005: Run 497
year 2006: Run 783
",1324
MF Kent,"year 1981: Run 33
",78
RB Kerr,"year 1985: Run 87*
",97
UT Khawaja,"year 2013: Run 14
year 2016: Run 399
year 2017: Run 56
year 2019: Run 769
",1238
JJ Krejza,"year 2011: Run 7
",13
BM Laird,"year 1979: Run 41
year 1980: Run 51
year 1981: Run 156
year 1982: Run 346
",594
JL Langer,"year 1994: Run 125
year 1995: Run 6
year 1997: Run 29
",160
B Laughlin,"year 2009: Run 1*
",1
TJ Laughlin,"year 1978: Run 2
year 1979: Run 103
",105
SG Law,"year 1994: Run 117
year 1995: Run 111
year 1996: Run 593
year 1997: Run 324
year 1998: Run 61
year 1999: Run 31
",1237
WM Lawry,"year 1971: Run 27
",27
GF Lawson,"year 1980: Run 4
year 1981: Run 55
year 1982: Run 5
year 1983: Run 103
year 1984: Run 99
year 1985: Run 107
year 1989: Run 5
",378
B Lee,"year 2000: Run 68
year 2001: Run 12
year 2002: Run 154
year 2003: Run 85
year 2004: Run 62
year 2005: Run 156
year 2006: Run 170
year 2007: Run 56
year 2008: Run 92
year 2009: Run 42
year 2011: Run 60
year 2012: Run 219
",1176
S Lee,"year 1995: Run 46
year 1996: Run 15
year 1999: Run 227
year 2000: Run 164
year 2001: Run 25
",477
DS Lehmann,"year 1996: Run 17
year 1997: Run 10
year 1998: Run 679
year 1999: Run 821
year 2001: Run 200
year 2002: Run 520
year 2003: Run 467
year 2004: Run 275
year 2005: Run 89
",3078
ML Lewis,"year 2005: Run -
year 2006: Run 4*
",4
DK Lillee,"year 1972: Run 13
year 1975: Run 19
year 1979: Run 60
year 1980: Run 29
year 1981: Run 68
year 1982: Run 43
year 1983: Run 8
",240
CA Lynn,"year 2017: Run 16
year 2018: Run 59
",75
NM Lyon,"year 2012: Run 4
year 2014: Run 8
year 2016: Run 34
year 2018: Run 4
year 2019: Run 19
",69
RB McCosker,"year 1975: Run 120
year 1977: Run 12
year 1979: Run 1
year 1980: Run 136
year 1982: Run 51
",320
RJ McCurdy,"year 1985: Run 13*
",33
CJ McDermott,"year 1985: Run 38
year 1986: Run 112
year 1987: Run 41
year 1988: Run 99
year 1989: Run 34
year 1990: Run 0
year 1991: Run 10
year 1992: Run 29
year 1993: Run 18
year 1994: Run 39
year 1995: Run 11
year 1996: Run 1
",432
SCG MacGill,"year 2000: Run 1
",1
GD McGrath,"year 1993: Run 0
year 1994: Run 14
year 1995: Run 11
year 1996: Run 18
year 1997: Run 2
year 1998: Run -
year 1999: Run 7
year 2000: Run 17
year 2001: Run 1
year 2002: Run 18
year 2003: Run 6
year 2004: Run 0
year 2005: Run 8
year 2006: Run 7
year 2007: Run 6
",115
CJ McKay,"year 2009: Run -
year 2010: Run 12
year 2012: Run 87
year 2013: Run 88
year 2014: Run 3
",190
GD McKenzie,"year 1971: Run -
",-
